,MLS #,Type,Status,Address,City,County,Beds,Baths,Structure Type,Date,List Office Name,Price,PriceChangeType,PriceChangeTitle,Timestamp
,VAFX2248412,RES,ACT,2125 McKay St,Falls Church,"Fairfax, VA",4,2,Detached,07/01/25,KW Metro Center (KWR9),"$1,049,000",,,2025-07-01 11:27:28
,VAPW2098506,RES,C/S,2847 Seminole Rd,Woodbridge,"Prince William, VA",3,2/1,Interior Row/Townhouse,07/01/25,KW Metro Center (KWR19),"$499,999",,,2025-07-01 11:27:28
,VAFX2246964,RES,C/S,7851 Midday Ln,Alexandria,"Fairfax, VA",4,2/1,Detached,06/30/25,TTR Sotheby's International Realty (TTRS6),"$980,000",,,2025-07-01 11:27:28
,VALO2100836,RES,ACT,208 Keyes Ct,Sterling,"Loudoun, VA",5,3/1,Detached,06/30/25,"Weichert, REALTORS (WEI90)","$774,900",,,2025-07-01 11:27:28
,VAPW2097540,RES,C/S,17875 Lounsbery Dr,Dumfries,"Prince William, VA",3,2/1,End of Row/Townhouse,06/30/25,Casals Realtors (CLNV1),"$395,000",,,2025-07-01 11:27:28
,VAPW2096706,RES,C/S,14725 Winding Loop,Woodbridge,"Prince William, VA",3,3/1,Interior Row/Townhouse,06/30/25,BNI Realty (BNI1),"$454,500",,,2025-07-01 11:27:28
,VAFX2244168,RES,C/S,6006 Havener House Way,Centreville,"Fairfax, VA",2,2/1,Interior Row/Townhouse,06/30/25,Samson Properties (SAMP1),"$439,999",,,2025-07-01 11:27:28
,VALO2101148,RES,C/S,41902 Beryl Ter,Aldie,"Loudoun, VA",3,3/1,Interior Row/Townhouse,06/30/25,Samson Properties (SAMP1),"$575,000",,,2025-07-01 11:27:28
,VAFX2248830,RES,C/S,5904 Bush Hill Dr,Alexandria,"Fairfax, VA",5,3,Detached,06/30/25,Berkshire Hathaway HomeServices PenFed Realty (PFED25),"$895,000",,,2025-07-01 11:27:28
,VALO2100732,RES,C/S,25427 Elm Ter,Aldie,"Loudoun, VA",6,2/2,Interior Row/Townhouse,06/30/25,Samson Properties (SAMP6),"$685,000",,,2025-07-01 11:27:28
,VAFX2253112,RES,C/S,13714 Autumn Vale Ct,Chantilly,"Fairfax, VA",3,2/1,End of Row/Townhouse,06/30/25,Ikon Realty (IKON6),"$484,900",,,2025-07-01 11:27:28
,VAFX2230706,RES,C/S,4006 Rainbow Glen Ct,Annandale,"Fairfax, VA",5,3/1,Detached,06/30/25,RE/MAX Allegiance (RMAX120),"$939,900",,,2025-07-01 11:27:28
,VAAR2060174,RES,ACT,1702 S Arlington Ridge Rd,Arlington,"Arlington, VA",8,7/2,Detached,06/30/25,Corcoran McEnearney (MCE1),"$2,000,000",,,2025-07-01 11:27:28
,VAPW2098500,RES,ACT,12703 Gordon Blvd #20,Woodbridge,"Prince William, VA",1,1,Unit/Flat/Apartment,06/30/25,Samson Properties (SAMP5),"$220,000",,,2025-07-01 11:27:28
,VAFX2248118,RES,ACT,6904 Mary Caroline Cir #L,Alexandria,"Fairfax, VA",2,2,Unit/Flat/Apartment,06/30/25,Keller Williams Realty/Lee Beaver & Assoc. (KWR3),"$408,000",,,2025-07-01 11:27:28
,VAAX2047138,RES,C/S,6137 Edsall Rd #L,Alexandria,"Alexandria City, VA",2,1/1,Unit/Flat/Apartment,06/30/25,Samson Properties (SAMP8),"$299,990",,,2025-07-01 11:27:28
,VALO2101118,RES,C/S,835 Vanderbilt Ter SE,Leesburg,"Loudoun, VA",3,3/1,Interior Row/Townhouse,06/30/25,"EXP Realty, LLC (EXPY4)","$524,900",,,2025-07-01 11:27:28
